pr_id,pr_title,pr_repo,ALG/FUNC,Module,RootCause,Semantic,SubComponent,Symptom,Syntactic,iSemantic,DIAction,DSAction
18,Fix road sign warning on Rviz,autowarefoundation/autoware,VECTOR_MAP_LOADER,MAP,MCC,MAP_TOOLS,VECTOR_MAP_LOADER,DGUI,IF,"SAR, DFC",,"ADD_CONDITION_LOGIC, MODIFY_MAP_LOADER, CHANGE/ADD_GUI_PROPERTY/ELEMENTS"
64,Fix no-GPU platform issue,autowarefoundation/autoware,CV_TRACKER,PERCEPTION,MCC,"CV_TRACKER, PERCEPTION_GPU",DETECTION,CRASHES,IF,"BCE, EA",,"FIX_GPU_INTEGRATION_ISSUE, MODIFY_OBJECT_DETECTION, ADD_CONDITION_LOGIC, MODIFY_CV_TRACKER"
70,Fix velocity computation on crossroads,autowarefoundation/autoware,LANE_RULE,PLANNING,NUM,"VELOCITY_CONTROL, MOTION_PLANNING",LANE_PLANNER,SVC,AS,"PPO, DFC",,"ADJUST_VELOCITY/SPEED_CONTROL, ADJUST_MISSION_PLANNING, ADJUST_LANE_PLANNER, ADJUST_CHANGE_LANE_RULE"
113,Fix off-by-one error,autowarefoundation/autoware,GPU_FUNCTION,PERCEPTION,ICL,PERCEPTION_GPU,DETECTION,CRASHES,IF,"EA, SME",,"FIX_GPU_INTEGRATION_ISSUE, CHANGE_CONDITION_LOGIC, MODIFY_IMAGE_RECOGNITION_ALGORITHM, MODIFY_IMAGE_DETECTION"
128,"Runtime Manager, fix bottom area height",autowarefoundation/autoware,RUNTIME_MANAGER,UTILITIES & TOOLS,ASSI,RUNTIME_MANAGER,RUNTIME_MANAGER,DGUI,"MC, AS","DFC, MII",,"CHANGE/ADD_GUI_PROPERTY/ELEMENTS, MODIFY_RUNTIME_MANAGER"
131,Correct kenyn fix,autowarefoundation/autoware,MATCHING_GPU,PERCEPTION,MEM,PERCEPTION_GPU,DETECTION,UN,"MC, AS","EA, DFC",,"FIX_GPU_INTEGRATION_ISSUE, FIX_CUDA_ISSUES, MODIFY_IMAGE_DETECTION"
147,Fix invalid pointer access issue,autowarefoundation/autoware,VELOCITY_SET,PLANNING,ALG,"VELOCITY_CONTROL, WAYPOINT_PROCESSING",MOTION,CRASHES,"MD, IF, MC","PPO, SME",,"FIX_NULL_POINTER_ISSUE, ADJUST_VELOCITY/SPEED_CONTROL, ADJUST_MOTION_CONTROL"
148,Bug fix for the probrem about range of circle,autowarefoundation/autoware,WAYPOINT_FOLLOWER,PLANNING,ALG,WAYPOINT_FOLLOWER,MOTION,LOGIC,"IF, MC","PPO, DFC",,"MODIFY_TRAJECTORY_FOLLOWER, ADJUST_MOTION_CONTROL"
167,Fix visualization for simulation mode,autowarefoundation/autoware,VELOCITY_SET,PLANNING,MCC,"WAYPOINT_PROCESSING, SIMULATOR",MOTION,DGUI,"IF, AS","SPO, UIA",,"ADD_CONDITION_LOGIC, MODIFY_SIMULATION_VISUALIZATION, CHANGE/ADD_GUI_PROPERTY/ELEMENTS, ADJUST_MOTION_CONTROL, ADJUST_VELOCITY/SPEED_CONTROL, CHANGE_INCORRECT_WAYPOINT"
207,Fix requirement,autowarefoundation/autoware,CV_TRACKER,PERCEPTION,CONFIG,"DEP, BUILD, PARAMETER",DETECTION,BUILD,"LIB, MC","BCE, CEM, EA",,
