pr_id,pr_title,pr_repo,ALG/FUNC,Module,RootCause,Semantic,SubComponent,Symptom,Syntactic,iSemantic,DIAction,DSAction
1,fixed document bold font in docs/quickstart/apollo_1_0_hardware_syste…,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
7,minor fixes in quickstart/apollo_1_0_hardware_system_installation_gui…,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
43,Fix the how to contribute link,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
165,fix linear velocity from localization in vehicle state,ApolloAuto/apollo,VEHICLE_STATE,UTILITIES & TOOLS,NUM,VELOCITY_CONTROL,VEHICLE_STATE,SVC,"MC, AS, LV","DFC, SAR",,"ADJUST_VELOCITY/SPEED_CONTROL, CHANGE_VEHICLE_PARAMETER/STATE"
826,Prediction: fix the problem of nearby obstacles no prediction traject…,ApolloAuto/apollo,SEQUENCE_PREDICTOR,PREDICTION,ICL,"PREDICTOR, OBSTACLE_WAYPOINT",PREDICTOR/SEQUENCE,"OP, TRAJ",IF,"PAE, SME",,"CHANGE_CONDITION_LOGIC, MODIFY_PREDICTION_PREDICTOR, MODIFY_OBJECT_PREDICTION/PLANNING"
844,Planning: fixed a bug when adding equality constraint in qp_spline_pa…,ApolloAuto/apollo,QP_SPLINE_PATH_GENERATOR,PLANNING,DATA,QP_SPLINE_PATH_GENERATOR,QP_SPLINE_PATH,TRAJ,MC,"DFC, PPO",,"IMPROVE_TRAJECTORY/PATH_GENERATION, OPTIMIZE_PLANNING_TASKS"
870,"Planning: fixed a bug in high-speed follow. No need to cut at max s, …",ApolloAuto/apollo,ALG:ST_BOUNDARY,PLANNING,EXTER-API,"ST_BOUNDARY, LANE_FOLLOW",SPEED,SVC,"AS, MC","PPO, DFC",,"ADJUST_VELOCITY/SPEED_CONTROL, ADJUST_LANE_BOUNDARY, FIX_API_MISUSE"
1252,Planning: fixed the check for smoothed reference line to avoid accumu…,ApolloAuto/apollo,REFERENCE_LINE_PROVIDER,PLANNING,MCC,REFERENCE_LINE,REFERENCE_LINE,LPN,"IF, RT, MC, LV","SME, PPO",,MODIFY_REFERENCE_LINE_GENERATION
1336,planning: bug fix for spiral reference line smoother to determine sta…,ApolloAuto/apollo,REFERENCE_LINE_SMOOTHER,PLANNING,ALG,REFERENCE_LINE,REFERENCE_LINE,LPN,IF,"PPO, SME",,MODIFY_TRAJECTORY_SMOOTHER
1404,Fix matrix size in the notice,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
1425,update map: fix test errors caused by updating map,ApolloAuto/apollo,ROUTE_SEGMENTS,MAP,DATA,"MAP_TOOLS, TEST_RELATED",PNC_MAP,OT,MC,"DTI, SAR",,"MODIFY_PNC_MAP, MODIFY_LANE_SEGMENT, UPDATE_DATA_VALUES/CALCULATION, MODIFY_TEST_CASE/UTILS/MANAGER"
1736,add z for outline to fix traffic light bug ,ApolloAuto/apollo,XML_PARSER,MAP,INTER-API,"MAP_TOOLS, TRAFFIC_SIGNAL",HDMAP,TLP,MC,"SAR, SME",,"ADJUST_TRAFFIC_SIGNAL_PROCESSING, FIX_API_MISUSE, MODIFY_MAP_PARSER"
1814,fix proto map generator bug,ApolloAuto/apollo,PROTO_MAP_GENERATOR,MAP,ASSI,"MAP_TOOLS, DATA_PROCESSING",MAP_TOOLS,CRASHES,AS,"MII, DFC, RDPI",,"MODIFY_MAP_CREATOR/GENERATOR, UPDATE_DATA_VALUES/CALCULATION"
1873,planning: fix change lane toggling problem when projecting lane is no…,ApolloAuto/apollo,ROUTE_SEGMENTS,MAP,ALG,"DEBUG_CHANGE, MAP_TOOLS, LANE_CHANGE",PNC_MAP,LPN,"IF, LV, MC, LOOP, AS","SAR, DTI",,"ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, ADJUST_LANE_PLANNER, MODIFY_PNC_MAP, MODIFY_LANE_SEGMENT"
1895,Localization: fix heading bug (+PI/2).,ApolloAuto/apollo,MSF_LOCALIZATION,LOCALIZATION,ALG,"LOCALIZATION, LOCALIZATION_COMPUTATION",MSF_LOCALIZATION,LOC,"LIB, SQ, LV","SAR, LA",,"CHANGE/ADD/DELETE_LIB_IMPORTING, MODIFY_MSF_LOCALIZATION, UPDATE_DATA_VALUES/CALCULATION"
1944,tools: fix drive event utility timestamp problem,ApolloAuto/apollo,DRIVE_EVENT,DRIVERS,ALG,"DRIVER_ERROR, SCRIPT",ROSBAG,LOGIC,"AS, LIB, MC","FSH, DFC",,"RESCHEDULE_TIMER, CHANGE/ADD/DELETE_LIB_IMPORTING, OPTIMIZE_SCRIPT_TOOLS"
2056,Control : Fix MPC scheduler bug,ApolloAuto/apollo,MPC_CONTROLLER,CONTROL,INTER-API,"MPC_CONTROLLER, DEBUG_CHANGE",CONTROLLER,"IO, SS","SQ, MC","CSA, DTI, SS",,"FIX_API_MISUSE, ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, ADJUST_MPC_CONTROLLER"
2084,Prediction: fixed velocity estimate when heading is different from po…,ApolloAuto/apollo,OBSTACLE,PREDICTION,ICL,OBSTACLE_WAYPOINT,CONTAINER/OBSTACLES,SVC,"IF, MC","PAE, SME",,"FIX_API_MISUSE, CHANGE_CONDITION_LOGIC, MODIFY_OBJECT_PREDICTION/PLANNING"
2136,Planning: fixed a bug in speed_decider --- should only consider block…,ApolloAuto/apollo,SPEED_DECIDER,PLANNING,MCC,"SPEED_PLANNING, DECIDER_RELATED",SPEED_DECIDER,"SVC, OP","IF, RT","ADMI, DFC",,"OPTIMIZE_PLANNING_TASKS, CHANGE_DECISION_MAKING_ALGORITHM, ADJUST_VELOCITY/SPEED_CONTROL"
2142,Calibration: fix some document errors,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
2264,scripts: fix docker repo when -C option is used,ApolloAuto/apollo,,DOCKER,MCC,"SCRIPT, BUILD, DOCKER",,LAU,"IF, MC","BCE, MII",,
2511,Planning: Fix size type to avoid infinite loop when vector size > 256.,ApolloAuto/apollo,DP_ROAD_GRAPH,PLANNING,DATA,"TYPE_CONVERSION, TRAJECTORY_GENERATOR",DP_POLY_PATH,HANGS,LV,"PPO, EHR",,"CHANGE_DATA_TYPE, OPTIMIZE_PLANNING_TASKS"
2549,fix a document error,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
2708,issue #2702 (static_assert failure),ApolloAuto/apollo,TIMER_COMPONENT,UTILITIES & TOOLS,EXTER-API,TIMER_COMPONENT,TIMER,CRASHES,MC,"MII, EHR",,"RESCHEDULE_TIMER, CHANGE_CONDITION_LOGIC"
2969,common: missing error checking in method KVDB::Has() and KVDB::Get(),ApolloAuto/apollo,KV_DB,UTILITIES & TOOLS,MCC,UTILITY,,CRASHES,"RT, MC","EHR, MII",,ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS
2971,result2pb: fix the wrong number of arguments check-ups (#2945),ApolloAuto/apollo,,UTILITIES & TOOLS,ICL,SCRIPT,CALIBRATION,CRASHES,IF,"MII, EHR",,"OPTIMIZE_SCRIPT_TOOLS, VEHICLE_CALIBRATION"
3000,Fix an estop bug in planning.cc,ApolloAuto/apollo,,PLANNING,INTER-API,"STOP_CONTROL, ESTOP",,STOP,"AS, MC","PPO, LA",,"ADJUST_STOP/PARK_CONTROL, MODIFY_EMERGENCY_MODE"
3496,perception: fix yolo camera detector crash for traffic camera rosbag …,ApolloAuto/apollo,YOLO_CAMERA_DETECTOR,PERCEPTION,DATA,CAMERA,OBSTACLE/CAMERA/DETECTOR,"CRASHES, CAM",AS,"EHR, EA",,"ADJUST_CAMERA, MODIFY_OBJECT_DETECTION, UPDATE_DATA_VALUES/CALCULATION"
3545,docker: fix mobileye in release docker and remove navi flag for plann…,ApolloAuto/apollo,,UTILITIES & TOOLS,CONFIG,PARAMETER,,LOGIC,NV,"BCE, MII",,
3777,Perception: Fix bug in visualization. (when lane post processing is n…,ApolloAuto/apollo,ALG:PERCEPTION_FUSION,PERCEPTION,ICL,"CAMERA, PERCEPTION_COMPUTATION, VISUALIZATION",OBSTACLE/CAMERA,"DGUI, CAM","IF, RT","EA, DFC",,"ADD/MODIFY_ERROR/DEBUG_HANDLER/TOOLS, MODIFY_OBJECT_DETECTION, MODIFY_SIMULATION_VISUALIZATION, MODIFY_FUSION_ALGORITHM"
3793,planning: fixed the QuieryPathTimeObstacleSamplePoints in end conditi…,ApolloAuto/apollo,END_CONDITION_SAMPLER,PLANNING,NUM,"TRAJECTORY_GENERATOR, PATH_PLANNING",LATTICE/TRAJECTORY_GENERATION,TRAJ,MC,"PPO, DFC",,"IMPROVE_TRAJECTORY/PATH_GENERATION, UPDATE_DATA_VALUES/CALCULATION"
3842,Localization: Fix a bug in the Threadpool,ApolloAuto/apollo,THREAD_POOL,LOCALIZATION,CONC,"LOCALIZATION, THREAD_MANAGE",MSF_LOCALIZATION,HANGS,LOOP,"SAR, SME, CC",,"MODIFY_MSF_LOCALIZATION, ADJUST_PROCESS/THREAD_SCHEDULING, CHANGE_CONDITION_LOGIC"
3965,Fix bug in turn signal command reset,ApolloAuto/apollo,TURN_SIGNAL_DECIDER,CAN BUS,SNT,"COMMANDS_CHANGE, TURN_SIGNAL",CANBUS_VEHICLE,TURN,AS,"DFC, FSH",,"MODIFY_AV_TURNING_LOGIC, ENABLE/DISABLE/CHANGE_STATUS/FLAGS/MODE"
3986,docs: fix a build command line in \'How to Run Offline Perceition Low…,ApolloAuto/apollo,,DOCUMENTATION,DOC,DOCUMENTATION,,DOC,DOC,DUC,,
4070,Relative map: fixed a bug at end of reference line -- some point inde…,ApolloAuto/apollo,NAVIGATION_LANE,MAP,ICL,"MAP_TOOLS, NAVIGATION_LANE",RELATIVE_MAP,LPN,"IF, AS, LV","SAR, SME",,"OPTIMIZE_NAVIGATION, ADD_MAP/LANE_CHECKING"
